"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 21:36:40 CST 2020","Thu Apr 16 21:36:40 CST 2020","13","test_case","test_login","","","","test_login",""
"passed","Thu Apr 16 21:36:40 CST 2020","Thu Apr 16 21:36:40 CST 2020","37","test_case","test_fore","","","","test_login",""
